Bigram,Count,ARR Category,Mohamed comment,Saif Comment,Terry/Jan Comment,
knowledge graphs,88,NLP Applications,,ACL 2023 form was very helpful here,,
sequence labeling,88,"Syntax: Tagging, Chunking and Parsing",,,,
tree adjoining,88,"Syntax: Tagging, Chunking and Parsing",,,,
weakly supervised,88,Machine Learning for NLP,,,,
fake news,87,Computational Social Science and Cultural Analytics,Ethics?,,,
linguistic features,87,Other/Unknown,,,,too broad
dependency treebank,86,"Syntax: Tagging, Chunking and Parsing",,,,
gender bias,86,Ethics and NLP,,,,
unsupervised learning,86,Machine Learning for NLP,,,,
knowledge bases,85,Information Extraction,Unsure,ACL 2023 form was very helpful here,,
phrase-based statistical,85,Machine Translation,Confirm?,,,
semantic annotation,85,"Semantics: Sentence-level Semantics, Textual Inference and Other areas",,,,
semi-supervised learning,85,Machine Learning for NLP,Unsure,,,
system using,85,Other/Unknown,Unsure,,,
automatic extraction,84,Information Extraction,,,,
dialogue act,84,Dialogue and Interactive Systems,Unsure,,,
meaning representation,84,"Semantics: Sentence-level Semantics, Textual Inference and Other areas",,,,
speech synthesis,84,Speech and Multimodality,,,,
error detection,83,Other/Unknown,Unsure,Unsure,,
term extraction,83,Information Extraction,,,,
lexical semantic,82,Semantics: Lexical,,,,
semantic analysis,82,Semantics: Lexical,,,,
bilingual lexicon,81,Multilinguality and Language Diversity,,,,
vector space,81,Machine Learning for NLP,,,,
extractive summarization,80,Summarization,,,,
style transfer,80,Machine Learning for NLP,,,,
support vector,80,Machine Learning for NLP,old school ML? appl?,,,
distant supervision,79,Machine Learning for NLP,,,,
using semantic,79,"Semantics: Sentence-level Semantics, Textual Inference and Other areas",,,,
emotion recognition,78,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",,,,
translation model,78,Machine Translation,,,,
analysis using,77,Other/Unknown,,,,
dialect identification,76,Multilinguality and Language Diversity,,,,
generation using,76,Generation,,,,
hidden markov,76,Machine Learning for NLP,old school ML? appl?,,,
mandarin chinese,76,Multilinguality and Language Diversity,,,,
opinion mining,76,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",,,,
semantic textual,76,Semantics: Lexical,,,,
translation memory,76,Machine Translation,,,,
continuous speech,75,Speech and Multimodality,,,,
native language,75,Multilinguality and Language Diversity,,,,
open source,75,Ethics and NLP,,,,
text categorization,75,NLP Applications,,,,
topic modeling,75,NLP Applications,,,,
summarization using,74,Summarization,,,,
